Wall time,Step,Value
1685123238.7812781,0,13.0
1685123238.7832675,1,9.0
1685123238.7862797,2,10.0
1685123238.7882674,3,8.0
1685123238.7902665,4,7.0
1685123238.7922666,5,7.0
1685123238.7942698,6,8.0
1685123238.8317857,7,7.0
1685123238.8778117,8,8.0
1685123238.9253237,9,7.0
1685123238.9668367,10,7.0
1685123239.007347,11,7.0
1685123239.0393484,12,6.0
1685123239.0774193,13,6.0
1685123239.1349807,14,10.0
1685123239.1718824,15,7.0
1685123239.1969156,16,4.0
1685123239.2284539,17,5.0
1685123239.2495098,18,4.0
1685123239.2755377,19,5.0
1685123239.2966006,20,4.0
1685123239.3186007,21,4.0
1685123239.3406317,22,4.0
1685123239.3641517,23,4.0
1685123239.385151,24,4.0
1685123239.4086835,25,4.0
1685123239.4362004,26,4.0
1685123239.4611993,27,4.0
1685123239.4872277,28,4.0
1685123239.5072286,29,3.0
1685123239.5272288,30,3.0
1685123239.5532568,31,4.0
1685123239.5767725,32,4.0
1685123239.6017723,33,4.0
1685123239.6232846,34,3.0
1685123239.6412852,35,3.0
1685123239.6652853,36,4.0
1685123239.690312,37,4.0
1685123239.7163117,38,4.0
1685123239.7416086,39,4.0
1685123239.7696083,40,4.0
1685123239.805609,41,4.0
1685123239.837608,42,4.0
1685123239.8718076,43,5.0
1685123239.900974,44,5.0
1685123239.9799907,45,12.0
1685123240.0410166,46,11.0
1685123240.0941107,47,9.0
1685123240.1343088,48,8.0
1685123240.1733558,49,7.0
1685123240.2048805,50,6.0
1685123240.231379,51,5.0
1685123240.2613804,52,5.0
1685123240.2903934,53,5.0
1685123240.3244343,54,6.0
1685123240.3584182,55,6.0
1685123240.405446,56,7.0
1685123240.4592838,57,8.0
1685123240.5181863,58,9.0
1685123240.5952883,59,12.0
1685123240.6552906,60,11.0
1685123240.7113018,61,10.0
1685123240.795432,62,14.0
1685123240.855248,63,11.0
1685123240.9388704,64,14.0
1685123241.0020041,65,11.0
1685123241.0723019,66,12.0
1685123241.1264286,67,9.0
1685123241.1621218,68,6.0
1685123241.2067072,69,9.0
1685123241.2583094,70,9.0
1685123241.305001,71,8.0
1685123241.3565533,72,8.0
1685123241.4123664,73,9.0
1685123241.4736211,74,10.0
1685123241.5276184,75,9.0
1685123241.5877242,76,10.0
1685123241.6418195,77,10.0
1685123241.7262483,78,14.0
1685123241.7825282,79,11.0
1685123241.8299196,80,9.0
1685123241.8835516,81,9.0
1685123241.9596152,82,13.0
1685123242.0202408,83,9.0
1685123242.0894964,84,11.0
1685123242.1525586,85,11.0
1685123242.1931462,86,8.0
1685123242.2756877,87,15.0
1685123242.3362803,88,11.0
1685123242.3834097,89,8.0
1685123242.4654427,90,13.0
1685123242.5524678,91,12.0
1685123242.6474953,92,13.0
1685123242.7430086,93,13.0
1685123242.831552,94,15.0
1685123242.878554,95,8.0
1685123242.9385858,96,10.0
1685123243.007586,97,10.0
1685123243.072114,98,11.0
1685123243.1501293,99,14.0
1685123243.2261527,100,12.0
1685123243.2931798,101,12.0
1685123243.3727655,102,14.0
1685123243.4182794,103,8.0
1685123243.4833071,104,10.0
1685123243.5613468,105,12.0
1685123243.6443923,106,14.0
1685123243.806539,107,28.0
1685123243.8894517,108,14.0
1685123243.9507127,109,10.0
1685123244.003093,110,9.0
1685123244.106667,111,18.0
1685123244.1932027,112,14.0
1685123244.2582598,113,10.0
1685123244.336805,114,14.0
1685123244.4022012,115,11.0
1685123244.5114841,116,12.0
1685123244.5887556,117,13.0
1685123244.723058,118,20.0
1685123244.7752442,119,8.0
1685123244.9104269,120,22.0
1685123244.9749503,121,11.0
1685123245.0586433,122,12.0
1685123245.1396682,123,12.0
1685123245.218917,124,13.0
1685123245.309675,125,14.0
1685123245.3663716,126,10.0
1685123245.4566298,127,16.0
1685123245.5248532,128,11.0
1685123245.6017075,129,13.0
1685123245.683644,130,14.0
1685123245.7692444,131,15.0
1685123245.8433535,132,11.0
1685123245.9793775,133,21.0
1685123246.1294382,134,21.0
1685123246.2556639,135,18.0
1685123246.3542945,136,14.0
1685123246.4728496,137,20.0
1685123246.5303867,138,9.0
1685123246.640307,139,18.0
1685123246.7203872,140,12.0
1685123246.8103888,141,14.0
1685123246.8903713,142,12.0
1685123246.9804406,143,16.0
1685123247.0979333,144,18.0
1685123247.3004713,145,34.0
1685123247.350991,146,9.0
1685123247.4285138,147,13.0
1685123247.5451405,148,18.0
1685123247.6113782,149,11.0
1685123247.6947973,150,13.0
1685123247.8256447,151,22.0
1685123247.9338524,152,17.0
1685123248.0575738,153,20.0
1685123248.1973937,154,22.0
1685123248.2656898,155,11.0
1685123248.3413332,156,13.0
1685123248.4298172,157,14.0
1685123248.4978433,158,12.0
1685123248.590381,159,16.0
1685123248.709422,160,21.0
1685123248.773471,161,11.0
1685123248.858964,162,14.0
1685123249.0137854,163,20.0
1685123249.126933,164,15.0
1685123249.2755907,165,20.0
1685123249.4386675,166,21.0
1685123249.6282325,167,26.0
1685123249.7402327,168,16.0
1685123249.8572607,169,17.0
1685123250.0152895,170,25.0
1685123250.1493182,171,22.0
1685123250.2593997,172,18.0
1685123250.342399,173,13.0
1685123250.4444213,174,16.0
1685123250.5294795,175,13.0
1685123250.6786094,176,26.0
1685123250.757454,177,12.0
1685123250.872228,178,19.0
1685123251.002387,179,20.0
1685123251.1515355,180,23.0
1685123251.331267,181,10.0
1685123251.467432,182,15.0
1685123251.757557,183,23.0
1685123252.0165834,184,23.0
1685123252.1082094,185,14.0
1685123252.2829845,186,22.0
1685123252.3998344,187,14.0
1685123252.5662513,188,15.0
1685123252.6773272,189,13.0
1685123252.8876052,190,24.0
1685123253.00848,191,16.0
1685123253.1450143,192,18.0
1685123253.4070108,193,26.0
1685123253.4951954,194,11.0
1685123253.646548,195,20.0
1685123253.7608457,196,11.0
1685123253.8613956,197,14.0
1685123254.086997,198,24.0
1685123254.25057,199,22.0
1685123254.3891153,200,18.0
1685123254.474116,201,14.0
1685123254.5663555,202,14.0
1685123254.6915586,203,16.0
1685123254.7957852,204,14.0
1685123254.9905655,205,21.0
1685123255.1931841,206,26.0
1685123255.3980975,207,30.0
1685123255.568772,208,22.0
1685123255.6965523,209,16.0
1685123255.7981906,210,13.0
1685123256.0361264,211,29.0
1685123256.2532513,212,30.0
1685123256.561338,213,40.0
1685123256.6683033,214,14.0
1685123256.9055364,215,22.0
1685123257.1471114,216,32.0
1685123257.2667813,217,15.0
1685123257.408839,218,20.0
1685123257.5919518,219,24.0
1685123257.733087,220,20.0
1685123257.8544478,221,19.0
1685123257.961376,222,15.0
1685123258.095813,223,18.0
1685123258.2377183,224,21.0
1685123258.3571508,225,17.0
1685123258.5025077,226,21.0
1685123258.6356716,227,20.0
1685123258.7663553,228,18.0
1685123258.9174066,229,24.0
1685123259.0510902,230,19.0
1685123259.2651432,231,31.0
1685123259.4773288,232,31.0
1685123259.5862482,233,16.0
1685123259.734705,234,22.0
1685123259.8817315,235,23.0
1685123260.0523374,236,25.0
