Wall time,Step,Value
1685123166.683908,0,12.0
1685123166.687906,1,24.0
1685123166.6899269,2,13.0
1685123166.6919072,3,9.0
1685123166.71991,4,10.0
1685123166.7599099,5,8.0
1685123166.815934,6,11.0
1685123166.856936,7,7.0
1685123166.8884482,8,6.0
1685123166.9364684,9,8.0
1685123167.0194688,10,15.0
1685123167.0664947,11,9.0
1685123167.1014974,12,6.0
1685123167.1364963,13,6.0
1685123167.172015,14,6.0
1685123167.2085247,15,6.0
1685123167.249525,16,6.0
1685123167.2840362,17,6.0
1685123167.3275502,18,7.0
1685123167.3765483,19,7.0
1685123167.423574,20,8.0
1685123167.5585995,21,23.0
1685123167.690279,22,15.0
1685123167.8030949,23,21.0
1685123167.9327383,24,23.0
1685123168.1278207,25,34.0
1685123168.255493,26,24.0
1685123168.4218805,27,30.0
1685123168.6144845,28,36.0
1685123168.7662036,29,26.0
1685123168.9107437,30,17.0
1685123169.0784006,31,24.0
1685123169.2229838,32,21.0
1685123169.4352891,33,32.0
1685123169.5286744,34,14.0
1685123169.6507506,35,18.0
1685123169.7337537,36,12.0
1685123169.8749516,37,22.0
1685123169.9916165,38,17.0
1685123170.244851,39,38.0
1685123170.3665013,40,18.0
1685123170.4595525,41,14.0
1685123170.5365796,42,14.0
1685123170.6276348,43,15.0
1685123170.7916899,44,24.0
1685123170.8477175,45,8.0
1685123171.0632179,46,32.0
1685123171.4196503,47,55.0
1685123171.5552177,48,21.0
1685123171.8188665,49,41.0
1685123172.02949,50,26.0
1685123172.3696012,51,49.0
1685123172.8067322,52,63.0
1685123173.41673,53,98.0
1685123173.9776394,54,84.0
1685123174.44332,55,79.0
1685123175.0611923,56,100.0
1685123175.3895977,57,57.0
1685123175.8458438,58,81.0
1685123176.3039017,59,79.0
1685123176.747061,60,71.0
1685123177.4611523,61,119.0
1685123178.074617,62,90.0
1685123178.645454,63,97.0
1685123179.375963,64,128.0
1685123180.0274718,65,113.0
1685123180.9119756,66,145.0
1685123181.641618,67,114.0
1685123182.421008,68,136.0
1685123183.231989,69,141.0
1685123184.4874706,70,201.0
1685123185.731451,71,201.0
1685123186.6125405,72,149.0
1685123187.773623,73,201.0
1685123188.8214126,74,182.0
1685123189.9668682,75,201.0
1685123191.1617787,76,186.0
1685123192.348539,77,201.0
1685123193.492802,78,201.0
1685123194.7238793,79,201.0
