Wall time,Step,Value
1685124962.4710739,1,9.0
1685124962.4781153,3,11.0
1685124962.4862347,5,12.0
1685124962.620592,6,10.0
1685124962.7920406,8,7.0
1685124962.8810403,10,5.0
1685124962.9250398,11,5.0
1685124962.9646463,12,5.0
1685124963.0004258,13,4.0
1685124963.0305543,14,4.0
1685124963.0665917,15,4.0
1685124963.101335,16,4.0
1685124963.1323361,17,4.0
1685124963.1647408,18,4.0
1685124963.1977816,19,4.0
1685124963.2305448,20,4.0
1685124963.2596886,21,4.0
1685124963.2824614,22,3.0
1685124963.337299,24,4.0
1685124963.370951,25,4.0
1685124963.4235053,27,4.0
1685124963.495432,30,3.0
1685124963.523034,31,4.0
1685124963.554066,32,4.0
1685124963.576649,33,3.0
1685124963.6027524,34,4.0
1685124963.6530402,36,4.0
1685124963.7350476,39,4.0
1685124963.754057,40,3.0
1685124963.8014202,42,3.0
1685124963.821495,43,3.0
1685124963.8435795,44,3.0
1685124963.8662326,45,3.0
1685124963.8861501,46,3.0
1685124963.9171858,47,4.0
1685124963.9612522,49,3.0
1685124963.9933279,50,4.0
1685124964.0884771,53,3.0
1685124964.1130178,54,3.0
1685124964.134584,55,3.0
1685124964.158664,56,3.0
1685124964.1887803,57,4.0
1685124964.2597892,60,3.0
1685124964.2874172,61,4.0
1685124964.3140185,62,4.0
1685124964.3377705,63,3.0
1685124964.3689787,64,4.0
1685124964.3987386,65,4.0
1685124964.423084,66,3.0
1685124964.4540296,67,4.0
1685124964.479028,68,3.0
1685124964.507029,69,4.0
1685124964.5481548,71,3.0
1685124964.5764956,72,4.0
1685124964.601567,73,3.0
1685124964.6270897,74,3.0
1685124964.664636,76,3.0
1685124964.6836693,77,3.0
1685124964.7082052,78,3.0
1685124964.739552,79,4.0
1685124964.789238,81,3.0
1685124964.810257,82,3.0
1685124964.8592887,84,4.0
1685124964.898864,85,4.0
1685124964.932993,86,3.0
1685124964.9680388,87,4.0
1685124964.9910386,88,3.0
1685124965.021039,89,4.0
1685124965.0681434,91,3.0
1685124965.090143,92,3.0
1685124965.113143,93,3.0
1685124965.1392775,94,3.0
1685124965.196825,96,4.0
1685124965.2772028,99,3.0
1685124965.3108523,100,4.0
1685124965.3313644,101,3.0
1685124965.3493774,102,3.0
1685124965.3684907,103,3.0
1685124965.4049785,104,4.0
1685124965.4380324,105,4.0
1685124965.4630594,106,3.0
1685124965.5506718,109,3.0
1685124965.5712237,110,3.0
1685124965.653552,113,4.0
1685124965.7315042,116,4.0
1685124965.7618856,117,4.0
1685124965.7814977,118,3.0
1685124965.8035796,119,3.0
1685124965.8242273,120,3.0
1685124965.8513968,121,4.0
1685124965.9013946,123,4.0
1685124965.9313967,124,4.0
1685124965.9549356,125,3.0
1685124965.9769664,126,3.0
1685124965.9960046,127,3.0
1685124966.0482059,129,4.0
1685124966.0784676,130,4.0
1685124966.156087,133,4.0
1685124966.1810844,134,3.0
1685124966.2452176,136,4.0
1685124966.2672925,137,3.0
1685124966.3173878,139,3.0
1685124966.365437,141,4.0
1685124966.3904588,142,4.0
1685124966.4125032,143,3.0
1685124966.444513,144,4.0
1685124966.4641163,145,3.0
1685124966.4877868,146,3.0
1685124966.5413666,148,4.0
1685124966.573365,149,4.0
1685124966.6073868,150,4.0
1685124966.6320035,151,3.0
1685124966.684066,153,3.0
1685124966.7131124,154,4.0
1685124966.733421,155,3.0
1685124966.7757912,157,4.0
1685124966.805397,158,4.0
1685124966.8263946,159,3.0
1685124966.8774538,161,4.0
1685124966.9054854,162,4.0
1685124966.9646187,164,4.0
1685124966.9948914,165,4.0
1685124967.0494874,167,4.0
1685124967.0791092,168,4.0
1685124967.1131954,169,4.0
1685124967.1815777,171,4.0
1685124967.2141674,172,4.0
1685124967.2509842,173,4.0
1685124967.3187084,175,4.0
1685124967.3712604,176,4.0
1685124967.4059553,177,4.0
1685124967.4380605,178,4.0
1685124967.5004125,180,4.0
1685124967.5234156,181,3.0
1685124967.5494123,182,3.0
1685124967.572444,183,3.0
1685124967.596002,184,3.0
1685124967.627505,185,4.0
1685124967.6582284,186,4.0
1685124967.6939785,187,4.0
1685124967.7766867,188,5.0
1685124967.8494685,190,5.0
1685124967.8952136,191,6.0
1685124968.0403485,194,6.0
1685124968.2190976,198,6.0
1685124968.2710361,199,7.0
1685124968.36227,201,7.0
1685124968.4096968,202,6.0
1685124968.4715867,203,7.0
1685124968.6183064,205,6.0
1685124968.6734712,206,6.0
1685124968.7764285,207,6.0
1685124968.8274627,208,6.0
1685124968.8772862,209,6.0
1685124969.0394738,212,6.0
1685124969.1009908,213,6.0
