Wall time,Step,Value
1685126635.7896595,5,10.0
1685126635.8347533,6,8.0
1685126635.9654968,10,5.0
1685126635.9874988,11,5.0
1685126636.038524,13,5.0
1685126636.0625367,14,5.0
1685126636.0900466,15,5.0
1685126636.1485615,18,4.0
1685126636.1675625,19,4.0
1685126636.1906,20,4.0
1685126636.2791147,24,4.0
1685126636.4601734,33,4.0
1685126636.4811978,34,4.0
1685126636.525198,36,4.0
1685126636.6288183,40,5.0
1685126636.7015092,42,9.0
1685126636.792458,44,10.0
1685126636.86407,45,11.0
1685126636.9545457,47,9.0
1685126637.0511544,49,8.0
1685126637.1092274,50,9.0
1685126637.2148938,53,6.0
1685126637.2429261,54,5.0
1685126637.2663202,55,5.0
1685126637.286183,56,4.0
1685126637.3102982,57,5.0
1685126637.3688092,60,4.0
1685126637.388769,61,4.0
1685126637.4302738,63,4.0
1685126637.4672658,65,4.0
1685126637.4822907,66,3.0
1685126637.4963176,67,3.0
1685126637.511319,68,3.0
1685126637.5643182,71,3.0
1685126637.5823727,72,3.0
1685126637.6018288,73,3.0
1685126637.6173434,74,3.0
1685126637.6936388,79,3.0
1685126637.7687373,84,3.0
1685126637.785363,85,3.0
1685126637.8017793,86,3.0
1685126637.8159344,87,3.0
1685126637.8344007,88,4.0
1685126637.854505,89,4.0
1685126637.9656477,94,4.0
1685126638.1275046,102,4.0
1685126638.1875472,105,4.0
1685126638.2136142,106,5.0
1685126638.4684808,113,5.0
1685126638.5761242,116,5.0
1685126638.6438258,118,5.0
1685126638.6842396,119,5.0
1685126638.712423,120,4.0
1685126638.8156886,124,4.0
1685126638.8469257,125,5.0
1685126638.8704388,126,5.0
1685126638.9764595,129,5.0
1685126639.0119724,130,5.0
1685126639.2360847,137,5.0
1685126639.2871232,139,5.0
1685126639.3371227,141,4.0
1685126639.3601234,142,4.0
1685126639.3821232,143,4.0
1685126639.4076388,144,4.0
1685126639.4971704,148,4.0
1685126639.5431933,150,4.0
1685126639.6128907,153,4.0
1685126639.709515,155,4.0
1685126639.785003,157,4.0
1685126639.8150034,158,4.0
1685126639.8542418,159,5.0
1685126639.9844234,162,5.0
1685126640.0684466,164,5.0
1685126640.1039882,165,5.0
1685126640.2645254,167,6.0
1685126640.3125513,168,5.0
1685126640.7842793,171,7.0
1685126641.1275754,176,6.0
1685126641.1786187,177,7.0
1685126641.256313,178,10.0
1685126641.3544517,180,7.0
1685126641.4944804,183,7.0
1685126641.5864801,185,7.0
1685126641.6245086,186,6.0
1685126641.7120235,188,8.0
1685126641.7875316,190,6.0
1685126641.824848,191,7.0
1685126642.1176002,198,7.0
1685126642.4788535,206,8.0
1685126642.5269036,207,9.0
1685126642.5604436,208,6.0
1685126642.737187,212,7.0
1685126642.8708682,215,8.0
1685126643.0268967,218,8.0
1685126643.081297,219,10.0
1685126643.253267,222,13.0
1685126643.3703187,223,17.0
1685126643.5853078,225,17.0
1685126643.6828487,226,15.0
1685126643.7328954,227,8.0
1685126643.8524432,229,10.0
1685126644.080178,232,9.0
1685126644.176625,233,9.0
1685126644.2311156,234,7.0
1685126644.3831704,237,7.0
1685126644.5261984,240,7.0
1685126644.7423236,245,6.0
1685126644.8418875,247,6.0
1685126644.947731,249,6.0
1685126644.9983332,250,6.0
1685126645.282632,255,8.0
1685126645.4297829,258,6.0
1685126645.4694395,259,7.0
1685126645.5220175,260,7.0
1685126645.5690017,261,7.0
1685126645.6743515,263,7.0
1685126645.8533492,267,7.0
1685126645.9653752,269,8.0
1685126646.0759249,271,7.0
1685126646.1852853,273,8.0
1685126646.4534268,278,7.0
1685126646.5601747,280,7.0
1685126646.7724113,284,7.0
1685126647.0377514,289,7.0
1685126647.1398964,291,7.0
1685126647.1773486,292,6.0
1685126647.4073339,297,9.0
1685126647.4522297,298,8.0
1685126647.5009463,299,7.0
1685126647.6094892,301,7.0
1685126647.6584897,302,7.0
1685126647.7004914,303,8.0
1685126647.8867588,307,7.0
1685126647.9718547,308,7.0
1685126648.0903518,310,9.0
1685126648.232783,313,8.0
1685126648.462117,317,8.0
1685126648.5162733,318,8.0
1685126648.5672734,319,9.0
1685126648.6087866,320,8.0
1685126648.70384,322,8.0
1685126648.8894145,325,8.0
1685126648.944443,326,8.0
1685126648.9914706,327,8.0
1685126649.154161,330,8.0
1685126649.2047362,331,9.0
1685126649.295574,333,8.0
1685126649.6210442,339,10.0
1685126649.7265794,341,9.0
1685126649.873966,344,8.0
1685126649.9321408,345,9.0
1685126650.0252416,347,8.0
1685126650.0642433,348,6.0
1685126650.3396392,353,9.0
1685126650.397509,354,10.0
1685126650.504578,356,10.0
1685126650.6252868,358,10.0
1685126650.6841638,359,10.0
1685126650.7420998,360,10.0
1685126650.9301853,363,11.0
1685126651.1702642,367,10.0
1685126651.2339,368,10.0
1685126651.3814573,370,12.0
1685126651.4564972,371,13.0
1685126651.5880332,373,10.0
1685126651.847849,377,11.0
1685126651.9201303,378,13.0
1685126651.9826753,379,11.0
1685126652.1074798,381,11.0
1685126652.1854846,382,12.0
1685126652.4895816,386,12.0
1685126652.5762043,387,11.0
1685126652.650782,388,12.0
1685126652.8433845,390,11.0
1685126652.910384,391,12.0
1685126652.9914153,392,12.0
1685126653.0674517,393,13.0
1685126653.8160872,402,13.0
1685126653.9111116,403,14.0
1685126654.357678,408,15.0
1685126655.002388,415,14.0
1685126655.1221673,416,15.0
1685126655.4936354,420,13.0
1685126655.5991726,421,15.0
1685126655.7032197,422,15.0
1685126655.922847,424,15.0
1685126656.1289575,426,17.0
1685126656.5497453,430,15.0
1685126657.4352713,439,17.0
1685126657.5204375,440,16.0
1685126657.604192,441,15.0
1685126657.6951952,442,15.0
1685126658.0302515,445,16.0
1685126658.3950462,448,19.0
1685126658.7193885,451,18.0
1685126659.471577,458,18.0
1685126659.554639,459,12.0
1685126659.6773665,460,17.0
1685126659.7664497,461,13.0
1685126659.950049,463,15.0
1685126660.0251842,464,14.0
1685126660.2703154,467,16.0
1685126660.3453453,468,14.0
1685126660.423433,469,15.0
1685126660.5936558,471,15.0
1685126660.7674098,473,13.0
1685126660.8499815,474,14.0
1685126661.1586134,478,12.0
1685126661.856896,485,14.0
1685126662.1591573,488,15.0
1685126662.2494748,489,13.0
1685126662.416065,491,12.0
1685126662.5835004,493,13.0
1685126662.8963213,496,17.0
1685126663.83175,507,12.0
1685126664.2564175,510,29.0
1685126664.450497,511,31.0
1685126664.516066,512,13.0
1685126664.6625414,514,11.0
1685126664.8092337,516,12.0
1685126664.8762865,517,10.0
1685126665.0650976,519,18.0
1685126665.489341,524,10.0
1685126665.582427,525,15.0
1685126666.3521833,531,16.0
1685126666.5733583,533,19.0
1685126666.6504836,534,13.0
1685126666.7194755,535,11.0
1685126666.8374333,536,19.0
1685126666.9390678,537,17.0
1685126667.0672722,538,23.0
1685126667.1242998,539,10.0
1685126667.2288039,540,16.0
1685126667.3524702,541,20.0
1685126667.4095335,542,10.0
1685126667.6718664,544,22.0
1685126668.0746546,547,20.0
1685126668.2234032,548,21.0
1685126668.4020252,549,25.0
1685126668.7623975,551,25.0
