low,high,mean,J
9,14,11.2,-5.473501580797373
8,16,12.0,2.0023984900779497
11,23,14.8,28.019315537740226
10,17,12.6,7.706395305524734
9,20,13.9,19.59106629710473
11,17,13.4,14.748554763201009
8,18,12.2,3.7710734916915656
9,23,14.6,25.94157940271547
11,25,15.7,36.24788058219854
10,21,15.4,33.520272713832604
11,21,15.2,31.612651772197513
8,24,17.3,51.19139318685991
14,34,18.4,61.08126154519546
9,29,18.6,63.090782510528086
8,43,20.9,84.63054721517427
17,29,23.5,108.56030062761586
11,32,22.7,101.30443705422798
12,27,19.2,68.46505129961959
9,40,22.8,102.17398402935751
16,38,25.1,123.40909770672133
13,38,25.0,122.51056977604574
12,44,28.1,151.3394702070296
16,37,27.7,147.8303352084691
11,43,23.8,111.10887733134832
19,49,30.3,171.94626983263
13,32,21.6,90.89880856028148
9,79,27.5,146.03538123070317
19,38,28.8,157.5734505183519
10,32,24.0,112.98533364046291
13,42,29.0,158.93465600298973
16,52,28.7,157.00225663727676
12,50,26.7,137.80963552966017
12,43,25.6,127.89946105781908
16,46,26.3,134.40831762957492
15,40,26.9,140.08647715430365
16,41,30.9,177.20895288921915
17,33,21.4,89.1847194160924
14,56,30.0,168.953012904129
17,39,28.7,156.77797100029275
9,49,29.9,168.0657660124908
7,42,24.5,117.72108860729813
12,48,27.4,144.12724700807726
17,41,24.9,121.69703607267097
12,43,26.8,139.27623483957092
12,42,25.9,130.5276593417222
15,51,28.4,154.32715243400736
12,54,29.5,163.88490023004624
12,31,23.2,105.65586487814505
12,31,22.3,97.45112129145447
9,34,20.4,79.50993698108553
12,56,27.7,147.52060750434538
14,38,21.9,93.37491136544838
14,42,26.1,132.279891471439
16,50,31.3,180.80570261919414
17,48,27.7,147.39600534167351
8,43,28.0,150.09896946794456
15,57,29.5,164.28287580765198
17,32,24.3,115.91485494438102
11,44,25.9,130.39117631832937
12,49,28.1,151.29771815253957
