low,high,mean,J
10,14,11.3,-4.6559822274494405
9,22,14.3,23.20260210742801
8,17,12.4,5.47225993566271
9,23,13.7,17.7239267540341
10,26,13.5,15.903363088329959
10,19,13.0,11.181203410865619
8,26,15.3,32.4480440129719
10,31,16.2,41.043745458690566
11,21,15.1,30.568064994155783
12,21,15.1,30.4268527209337
10,36,19.7,73.19165405703441
10,57,23.1,105.00672747124813
10,37,23.7,109.90459824868803
9,40,19.7,73.27493922972818
16,41,30.2,171.07280642835627
14,30,22.5,99.50384840760397
13,38,21.8,92.6292036553734
17,42,24.8,120.3222011504121
9,45,24.2,114.81805749622977
14,56,31.6,183.65614238637178
15,34,24.3,115.65729784275891
12,59,26.4,135.35261676763162
12,34,23.3,106.64794934843194
14,33,21.5,89.90617750330246
14,44,28.6,155.49720738538971
12,58,31.5,183.1863752665096
13,38,22.7,101.16817781999109
14,42,28.4,154.11732319487174
15,36,26.9,139.55999805502876
13,34,20.9,84.30606449949252
20,52,34.1,206.88548665313047
9,65,29.0,159.08885552886346
9,45,29.4,163.13054574841016
8,46,24.5,117.64334808885931
15,46,28.4,153.8148062945823
13,35,27.0,140.55598128585908
7,34,17.4,51.375917848812094
12,34,23.6,109.16856199129583
13,39,24.6,118.65688810178912
11,57,31.4,181.6984113491041
9,66,35.0,215.59380516617753
21,58,32.1,188.1841778148492
16,35,25.6,127.67087998186184
19,51,33.9,204.2518752884282
13,40,26.6,137.04485036461867
18,43,25.5,126.76250670706199
14,41,24.2,114.77920735170183
20,46,29.5,164.3264130595877
9,26,20.8,83.25175746796269
11,48,24.1,113.8558111433571
9,62,28.1,151.15877764064194
14,45,27.3,143.80969691972322
22,44,28.9,158.6189053235751
12,34,23.6,109.38786837536841
10,46,26.4,135.54276953448007
8,50,24.2,114.70795729705125
14,56,33.4,200.46708526114472
8,64,24.2,114.82753162510137
13,53,28.2,152.19711626992125
13,43,31.0,178.1823428642506
14,52,31.6,183.79341435096813
12,47,31.7,184.99140181438958
13,47,25.9,130.64743233930062
17,54,31.4,181.9369954864585
16,49,28.1,151.04228636880686
