low,high,mean,J
8,15,11.5,-2.714188232775322
8,16,13.0,11.050999624367021
10,23,13.4,14.90846341820033
9,25,14.7,26.797301099560105
10,27,15.1,30.623254140956487
11,24,15.0,29.677882765964256
7,23,13.1,11.857365817499804
9,25,16.5,43.56790147375315
10,22,14.7,26.69311647209483
13,37,20.1,76.64567130284921
11,32,16.3,41.427921981921614
11,33,21.5,89.84187020310382
12,35,21.1,86.22855625777125
14,33,22.3,97.55552796767024
12,44,22.8,101.95643367200549
15,32,22.2,96.68769007867691
15,38,22.4,98.3246962168761
11,39,24.1,113.84779466377105
15,37,25.3,125.35680438701328
12,61,29.0,159.51970133675403
15,54,26.7,138.1930814730429
7,37,21.6,90.75582824511142
21,44,31.8,185.58108303664042
15,54,29.5,164.09385464148306
14,46,29.1,160.66483442588145
13,42,25.6,128.02063967655744
9,29,20.1,76.69601677972994
16,30,21.7,91.83808962459827
17,34,23.5,108.19282182946822
15,54,31.2,180.39583700315072
14,38,26.3,134.28674604646858
16,35,22.8,102.01211274334692
10,39,22.8,102.00584078471739
11,43,26.0,131.4305425894964
15,39,22.9,102.82465663331769
7,38,18.7,63.68546008610374
14,40,25.6,127.98491916217897
14,36,20.1,76.75243253292206
8,27,18.2,58.80866380442412
12,41,24.6,118.43923655328675
11,39,23.8,110.71040906599171
15,35,23.2,105.46416813276149
12,40,28.0,150.21386353857255
15,30,24.3,115.62089148885173
12,34,22.3,97.38745307711451
11,39,24.0,113.2508156431923
17,40,26.0,131.95299289053648
10,29,20.3,78.50047539362136
13,32,23.3,106.39266656085911
9,46,25.0,121.99894649000785
12,38,25.9,130.31511664892383
9,45,27.7,147.5497278151343
13,42,25.8,129.36191884511572
18,41,24.7,119.76301695383972
18,52,27.0,140.44139117531844
20,46,28.8,157.56935231989843
17,46,29.2,161.2580146857395
15,34,24.5,117.78268839885973
11,41,23.6,109.36770308274579
13,46,25.7,128.4376445549806
12,43,25.2,123.91893105108689
12,37,23.7,110.01710139671079
6,42,18.2,59.01060662343158
16,54,33.4,200.61456350651684
13,39,21.8,92.64935203383104
17,44,30.3,171.56053997732735
8,49,24.8,120.32769192494716
10,42,21.2,87.12651636862799
17,32,21.9,93.58669182468107
14,42,23.0,103.63941414479591
12,37,24.0,112.99816801449406
16,66,28.0,149.976025498903
11,30,21.0,84.83586331248931
16,34,23.5,108.35183090015671
14,37,23.6,109.26632020378375
14,31,22.9,102.95099840833181
10,54,27.4,144.50912598549357
14,48,30.0,168.26561260339628
12,34,21.7,91.71435149207403
15,28,19.8,74.00405308052913
9,33,24.2,114.30684599999658
12,35,27.7,147.4619830448425
14,44,22.2,96.22831716324706
7,32,20.6,81.09507149985973
9,49,27.1,141.9451545758014
17,35,26.0,131.23893832703226
15,35,24.6,118.5941920520526
10,36,19.8,73.96674218480294
5,47,26.8,138.8032910254347
16,34,24.7,119.30712887522357
8,36,24.3,115.71587101379946
10,34,21.9,93.60392477751273
14,34,23.9,111.82193355334564
12,51,27.1,141.928604721246
11,44,26.0,131.56086307577579
6,34,21.3,87.48178330600267
14,41,27.3,143.59365582187465
10,44,27.6,146.39393956797423
15,46,28.8,157.51300669334813
16,38,26.2,133.35529980395444
22,46,33.3,199.49654920297024
17,43,26.7,137.7160339407125
