low,high,mean
3.0,3.0,3.0
3.0,25.0,14.3
22.0,36.0,29.0
14.0,42.0,24.1
20.0,70.0,41.8
21.0,47.0,27.5
19.0,46.0,29.5
22.0,42.0,29.9
46.0,72.0,63.6
40.0,200.0,101.1
94.0,197.0,147.5
159.0,200.0,195.9
151.0,200.0,189.1
77.0,200.0,140.0
74.0,200.0,134.5
58.0,200.0,174.6
200.0,200.0,200.0
200.0,200.0,200.0
154.0,200.0,195.4
79.0,200.0,187.9
190.0,200.0,199.0
122.0,200.0,188.9
187.0,200.0,198.7
186.0,200.0,198.6
200.0,200.0,200.0
60.0,200.0,172.8
200.0,200.0,200.0
200.0,200.0,200.0
138.0,200.0,193.8
200.0,200.0,200.0
200.0,200.0,200.0
