low,high,mean,J
3,10,3.8,-97.2
5,17,11.9,-89.1
20,68,43.9,-57.1
21,72,35.7,-65.3
40,134,89.7,-11.3
39,65,49.3,-51.7
52,81,62.8,-38.2
35,69,48.9,-52.1
32,200,110.5,29.7
23,107,85.5,-15.5
84,118,104.1,3.1
69,126,88.2,-12.8
83,190,114.5,13.5
66,187,124.4,23.4
86,200,185.0,164.8
74,200,138.6,57.8
40,200,161.1,90.4
53,200,155.8,95.2
200,200,200.0,200.0
143,200,194.3,184.2
185,200,198.5,188.4
107,200,186.0,165.8
39,178,107.7,6.7
118,200,178.7,138.3
69,200,177.5,147.2
52,200,140.6,80.0
79,200,175.5,145.2
69,200,114.4,33.6
61,200,127.1,56.4
78,200,156.8,106.3
83,200,175.2,134.8
52,200,151.7,81.0
74,200,138.1,67.4
86,200,164.5,103.9
45,200,128.4,57.7
200,200,200.0,200.0
146,200,190.5,160.2
95,200,179.1,138.7
