low,high,mean,J
3,3,3.0,-98.0
9,42,23.7,-77.3
20,90,57.7,-43.3
36,73,50.5,-50.5
25,200,111.3,30.5
49,156,73.0,-28.0
50,108,71.6,-29.4
39,64,52.4,-48.6
49,124,75.2,-25.8
60,200,120.9,30.0
67,195,132.1,31.1
41,176,117.7,16.7
84,200,139.9,49.0
88,200,138.2,47.3
117,200,163.7,113.2
148,200,189.4,138.9
147,200,194.7,184.6
89,200,155.7,74.9
89,200,131.5,50.7
69,200,167.8,107.2
50,200,170.3,129.9
187,200,198.7,188.6
200,200,200.0,200.0
127,200,192.4,172.2
200,200,200.0,200.0
176,200,197.6,187.5
176,200,197.6,187.5
200,200,200.0,200.0
200,200,200.0,200.0
123,200,191.5,171.3
200,200,200.0,200.0
113,200,191.3,181.2
86,200,188.6,178.5
200,200,200.0,200.0
200,200,200.0,200.0
200,200,200.0,200.0
